iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
10,Lasso,RFC,4,"Pattern_2154 (0.5119),Pattern_1139 (0.2801),Pattern_4054 (0.1805),Pattern_5513 (0.0276)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:0.5,feature_selector__n_features:4",0.875,0.7906976744186046,0.8292682926829268,0.8095238095238095,0.8125,0.7,0.7,0.7,"E54,MSK2191,FM14","MSK814,UWM1206,GL28"
10,Lasso,XGB,2,"Pattern_2154 (0.9456),Pattern_5513 (0.0544)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.8125,0.75,0.6,0.6666666666666665,"E54,MSK2191,GL122,FM14","UWM1206,GL28"
10,ENNS,RFC,2,"Pattern_2154 (0.5318),Pattern_4376 (0.4682)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.75,feature_selector__n_features:2",0.8515625,0.75,0.8048780487804879,0.7764705882352942,0.8125,0.7,0.7,0.7,"E54,MSK2191,FM14","MSK814,UWM1206,GL28"
10,ENNS,XGB,2,"Pattern_2154 (0.9573),Pattern_4376 (0.0427)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.8125,0.75,0.6,0.6666666666666665,"E54,MSK2191,GL122,FM14","UWM1206,GL28"
11,Logit,RFC,8,"Pattern_5811 (0.1630),Pattern_543 (0.1528),Pattern_2154 (0.1387),Pattern_4376 (0.1282),Pattern_604 (0.1158),Pattern_1332 (0.1088),Pattern_573 (0.1019),Pattern_894 (0.0909)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.890625,0.8461538461538461,0.8048780487804879,0.8250000000000001,0.75,0.625,0.5,0.5555555555555556,"E30,MSK807,E34,FM14,E54","E39,MSK620,E27"
11,Logit,XGB,10,"Pattern_4376 (0.2858),Pattern_543 (0.2155),Pattern_1332 (0.1722),Pattern_5811 (0.1572),Pattern_2154 (0.1012),Pattern_832 (0.0307),Pattern_395 (0.0163),Pattern_604 (0.0090),Pattern_573 (0.0064),Pattern_894 (0.0058)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.890625,0.8461538461538461,0.8048780487804879,0.8250000000000001,0.75,0.625,0.5,0.5555555555555556,"E30,MSK807,E34,FM14,E54","E39,MSK620,E27"
11,Lasso,RFC,8,"Pattern_543 (0.2384),Pattern_4376 (0.2191),Pattern_1139 (0.1822),Pattern_2154 (0.1732),Pattern_3748 (0.0974),Pattern_3883 (0.0443),Pattern_6541 (0.0233),Pattern_212 (0.0222)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.8828125,0.825,0.8048780487804879,0.8148148148148149,0.6875,0.5,0.5,0.5,"E30,MSK807,E34,FM14,E54","E39,MSK620,UWM1196,E27,CDC338"
11,Lasso,XGB,6,"Pattern_4376 (0.3043),Pattern_3748 (0.2610),Pattern_543 (0.2502),Pattern_2154 (0.1845),Pattern_3883 (0.0000),Pattern_212 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.890625,0.8461538461538461,0.8048780487804879,0.8250000000000001,0.71875,0.5555555555555556,0.5,0.5263157894736842,"E30,MSK807,E34,FM14,E54","E39,MSK620,E27,CDC338"
11,ENNS,RFC,2,"Pattern_4376 (0.5301),Pattern_2154 (0.4699)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:2",0.8671875,0.7608695652173914,0.8536585365853658,0.8045977011494252,0.75,0.625,0.5,0.5555555555555556,"E30,MSK807,E34,FM14,E54","E39,MSK620,E27"
11,ENNS,XGB,4,"Pattern_4376 (0.5281),Pattern_5811 (0.3944),Pattern_2154 (0.0775),Pattern_2716 (0.0000)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:4",0.875,0.7906976744186046,0.8292682926829268,0.8095238095238095,0.75,0.625,0.5,0.5555555555555556,"E30,MSK807,E34,FM14,E54","E39,MSK620,E27"
