repeat,iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
1,36,Logit,XGB,10,"Pattern_3291 (0.5149),Pattern_2738 (0.1190),Pattern_6639 (0.0806),Pattern_1151 (0.0805),Pattern_4202 (0.0557),Pattern_1791 (0.0490),Pattern_1170 (0.0302),Pattern_1640 (0.0287),Pattern_5918 (0.0247),Pattern_2940 (0.0166)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.765625,0.7037037037037037,0.4634146341463415,0.5588235294117647,0.5625,0.1666666666666666,0.1,0.125,"E5,GL122,MSK812,MSK2094,E7,MSK1762,MSK2384,MSK2161,E32","E47,E70,E6,E44,E59"
2,36,Logit,XGB,10,"Pattern_5869 (0.2528),Pattern_3398 (0.2048),Pattern_5149 (0.1377),Pattern_6436 (0.1241),Pattern_4352 (0.0801),Pattern_984 (0.0707),Pattern_1808 (0.0525),Pattern_1151 (0.0402),Pattern_5283 (0.0210),Pattern_4012 (0.0161)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:10",0.765625,0.72,0.4390243902439024,0.5454545454545455,0.625,0.25,0.1,0.1428571428571428,"E5,GL122,MSK812,MSK2094,E7,MSK1762,MSK2384,MSK2161,E32","MSK2386,E27,E1"
3,36,Logit,XGB,10,"Pattern_4279 (0.5156),Pattern_5908 (0.2018),Pattern_4434 (0.0738),Pattern_6428 (0.0468),Pattern_4002 (0.0425),Pattern_4355 (0.0406),Pattern_6197 (0.0290),Pattern_6424 (0.0249),Pattern_4951 (0.0150),Pattern_4000 (0.0099)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8125,0.84,0.5121951219512195,0.6363636363636365,0.59375,0.2857142857142857,0.2,0.2352941176470588,"E5,GL122,MSK812,MSK2094,E7,MSK1762,MSK2161,E32","MSK2386,MSK1882,MSK2234,UWM1197,E41"
1,37,Logit,XGB,4,"Pattern_3868 (0.7287),Pattern_4278 (0.2667),Pattern_4058 (0.0035),Pattern_4263 (0.0012)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.75,0.9090909090909092,0.2439024390243902,0.3846153846153846,0.8125,1.0,0.4,0.5714285714285715,"CDC344,E32,MSK799,MSK314,MSK2448,MSK808",
2,37,Logit,XGB,4,"Pattern_5742 (0.5234),Pattern_4063 (0.2339),Pattern_3577 (0.1666),Pattern_2340 (0.0761)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.7578125,0.7083333333333334,0.4146341463414634,0.523076923076923,0.8125,0.8333333333333334,0.5,0.625,"CDC344,MSK795,MSK314,MSK1394,MSK2448",MSK2499
3,37,Logit,XGB,2,"Pattern_4027 (0.5612),Pattern_6781 (0.4388)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.734375,0.8181818181818182,0.2195121951219512,0.3461538461538461,0.6875,0.0,0.0,0.0,"MSK2161,CDC344,E32,MSK795,MSK799,MSK314,MSK1394,MSK2448,MSK803,MSK808",
1,38,Logit,XGB,10,"Pattern_3879 (0.3231),Pattern_4417 (0.2894),Pattern_4728 (0.0853),Pattern_4371 (0.0703),Pattern_5684 (0.0578),Pattern_3298 (0.0553),Pattern_3877 (0.0512),Pattern_6783 (0.0283),Pattern_4115 (0.0281),Pattern_1431 (0.0113)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.7890625,0.7916666666666666,0.4634146341463415,0.5846153846153846,0.53125,0.0,0.0,0.0,"E34,MSK2191,MSK2161,GL105,MSK2649,MSK799,E36,MSK2448,CDC343,MSK812","UWM1198,E74,MSK2524,MSK2415,MSK815"
2,38,Logit,XGB,10,"Pattern_2823 (0.2854),Pattern_4019 (0.2131),Pattern_4008 (0.1376),Pattern_1643 (0.0973),Pattern_4014 (0.0903),Pattern_4006 (0.0428),Pattern_709 (0.0363),Pattern_4004 (0.0347),Pattern_4016 (0.0320),Pattern_4015 (0.0304)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.7578125,0.8571428571428571,0.2926829268292683,0.4363636363636364,0.59375,0.2857142857142857,0.2,0.2352941176470588,"MSK2191,MSK2161,GL105,MSK2649,MSK799,E36,CDC343,MSK812","E1,MSK809,E69,E31,E71"
3,38,Logit,XGB,8,"Pattern_2032 (0.9028),Pattern_6072 (0.0189),Pattern_422 (0.0170),Pattern_2413 (0.0165),Pattern_598 (0.0130),Pattern_869 (0.0115),Pattern_3674 (0.0102),Pattern_851 (0.0101)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:8",0.7734375,0.7727272727272727,0.4146341463414634,0.5396825396825397,0.5,0.125,0.1,0.1111111111111111,"E34,MSK2161,GL105,MSK2649,MSK799,E36,MSK2448,CDC343,MSK812","UWM1198,E35,E6,MSK2524,E56,E31,E59"
1,39,Logit,XGB,8,"Pattern_4380 (0.2223),Pattern_874 (0.1935),Pattern_4059 (0.1657),Pattern_4381 (0.1597),Pattern_3983 (0.1346),Pattern_4058 (0.0730),Pattern_1171 (0.0315),Pattern_1174 (0.0197)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:8",0.796875,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.4375,0.1666666666666666,0.2,0.1818181818181818,"MSK803,MSK2448,MSK1394,MSK624,E38,E67,MSK2640,MSK808","E35,MSK2124,MSK809,MSK2406,MSK804,E48,MSK814,MSK1298,E31,CDC337"
