iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
23,Logit,XGB,2,"Pattern_1544 (0.7104),Pattern_452 (0.2896)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7692307692307693,0.7317073170731707,0.7499999999999999,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E30,FM14,E34","MSK1666,MSK814"
24,Logit,XGB,10,"Pattern_1544 (0.6448),Pattern_920 (0.1710),Pattern_1622 (0.0745),Pattern_1573 (0.0390),Pattern_1710 (0.0177),Pattern_585 (0.0167),Pattern_452 (0.0142),Pattern_635 (0.0103),Pattern_304 (0.0070),Pattern_472 (0.0049)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.84375,1.0,0.5,0.6666666666666666,"E36,E7,UWM1207,GL122,E34",
25,Logit,XGB,8,"Pattern_1544 (0.9078),Pattern_472 (0.0493),Pattern_452 (0.0175),Pattern_1622 (0.0098),Pattern_727 (0.0094),Pattern_1145 (0.0031),Pattern_585 (0.0020),Pattern_920 (0.0013)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.859375,0.8484848484848485,0.6829268292682927,0.7567567567567567,0.875,0.8,0.8,0.8000000000000002,"E34,E30","MSK814,MSK620"
26,Logit,XGB,8,"Pattern_472 (0.3224),Pattern_585 (0.3198),Pattern_1544 (0.1569),Pattern_1622 (0.1393),Pattern_452 (0.0375),Pattern_2669 (0.0103),Pattern_727 (0.0080),Pattern_330 (0.0058)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.8671875,0.875,0.6829268292682927,0.767123287671233,0.875,0.8,0.8,0.8000000000000002,"UWM1207,MSK2191","CDC339,MSK800"
27,Logit,XGB,6,"Pattern_452 (0.4001),Pattern_1622 (0.3419),Pattern_1544 (0.1049),Pattern_585 (0.0741),Pattern_727 (0.0739),Pattern_472 (0.0051)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:6",0.828125,0.7567567567567568,0.6829268292682927,0.7179487179487181,0.9375,0.8333333333333334,1.0,0.9090909090909092,,"E12,E59"
28,Logit,XGB,2,"Pattern_1544 (0.6073),Pattern_727 (0.3927)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.7837837837837838,0.7073170731707317,0.7435897435897435,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E54,MSK2199,GL79","MSK620,MSK814"
29,Logit,XGB,6,"Pattern_1573 (0.4659),Pattern_1622 (0.3425),Pattern_452 (0.0707),Pattern_472 (0.0706),Pattern_1544 (0.0289),Pattern_920 (0.0215)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:6",0.8515625,0.8055555555555556,0.7073170731707317,0.7532467532467532,0.84375,0.7777777777777778,0.7,0.7368421052631577,"GL62,GL122,E34","UWM1198,MSK2386"
30,Logit,XGB,6,"Pattern_452 (0.2697),Pattern_472 (0.2478),Pattern_1544 (0.2331),Pattern_920 (0.2324),Pattern_727 (0.0138),Pattern_1525 (0.0033)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:6",0.859375,0.8108108108108109,0.7317073170731707,0.7692307692307694,0.8125,0.7,0.7,0.7,"E54,E46,E36","MSK800,MSK1666,UWM1206"
31,Logit,XGB,10,"Pattern_1622 (0.6419),Pattern_472 (0.1350),Pattern_727 (0.1324),Pattern_452 (0.0339),Pattern_559 (0.0181),Pattern_1525 (0.0170),Pattern_330 (0.0079),Pattern_1544 (0.0055),Pattern_585 (0.0052),Pattern_1527 (0.0031)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8529411764705882,0.7073170731707317,0.7733333333333334,0.875,0.875,0.7,0.7777777777777777,"MSK2191,E32,E46",MSK800
32,Logit,XGB,2,"Pattern_1544 (0.5972),Pattern_472 (0.4028)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.84375,0.8,0.6829268292682927,0.736842105263158,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E30,MSK807,MSK2384","MSK813,E39"
